,기상번호,시도코드,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),SO2,CO,O3,NO2,PM10,PM25
15378,4720160204,47,20160204,0.7785714285714286,-4.635714285714286,5.828571428571429,2.685714285714286,270.0,1008.7357142857144,0.006345636,0.6349127179999999,0.033165485,0.020076781000000002,50.29481132,30.36363636
15379,4720160205,47,20160205,0.03571428571428576,-4.435714285714286,5.7,2.921428571428572,250.7142857142857,1006.5357142857144,0.005647836999999999,0.488190955,0.032412322,0.016295455,35.87677725,19.0625
15380,4720160206,47,20160206,-1.0642857142857145,-5.821428571428571,4.2,2.8,264.2857142857143,1006.2214285714284,0.006053202,0.49901719899999997,0.033097448,0.014298172,39.12325581,21.91666667
15381,4720160207,47,20160207,-1.75,-8.02142857142857,5.4785714285714295,1.785714285714286,275.0,1006.4857142857144,0.00517679,0.525490196,0.029574074,0.0156375,36.43055556,22.02173913
15382,4720160208,47,20160208,0.7214285714285715,-7.457142857142857,7.192857142857144,2.3000000000000003,227.85714285714286,1001.1785714285713,0.006568395,0.571498771,0.036654292000000005,0.015532376,49.303030299999996,36.29166667
15383,4720160209,47,20160209,2.5357142857142865,-2.064285714285714,6.971428571428571,4.0285714285714285,282.85714285714283,1004.65,0.005472549,0.46004902,0.03925463,0.009665104,48.46635731,32.64583333
15384,4720160210,47,20160210,1.2785714285714285,-5.842857142857143,9.907142857142855,1.407142857142857,182.14285714285717,1011.5428571428572,0.005646324,0.553921569,0.027085647999999997,0.01793099,33.48723898,21.91489362
15385,4720160211,47,20160211,4.384615384615385,-4.321428571428572,12.385714285714286,1.3357142857142856,202.3076923076923,1011.5153846153846,0.00674665,0.682382134,0.019046838,0.026395251,41.97423888,30.510638300000004
15386,4720160212,47,20160212,7.921428571428571,4.207142857142856,10.671428571428573,1.385714285714286,195.7142857142857,1005.1785714285713,0.0057916669999999995,0.712121212,0.01571599,0.026115054,33.45,26.23076923
15387,4720160213,47,20160213,11.485714285714282,7.5928571428571425,16.27857142857143,1.2928571428571431,190.7142857142857,993.7071428571428,0.0060730390000000006,0.793627451,0.012958042,0.024346094,27.06588235,19.92105263
15388,4720160214,47,20160214,2.442857142857143,-3.1142857142857143,13.092857142857142,4.428571428571429,278.57142857142856,995.1071428571428,0.0037729729999999998,0.43651960799999995,0.030967592999999998,0.008920312,21.09352518,11.13636364
15389,4720160215,47,20160215,-3.3000000000000003,-6.2857142857142865,0.0214285714285714,4.0,287.85714285714283,1003.0928571428572,0.004161713,0.355919395,0.03524228,0.007696247,25.88836105,14.65909091
