,시도코드,일시,시도,PM10,PM25,PM10등급,PM25등급
226,11,20160814,서울,37.62334802,27.41061947,2,2
227,11,20160815,서울,38.80952381,23.46543002,2,2
228,11,20160816,서울,49.00556793,28.61120543,2,2
229,11,20160817,서울,44.26644737,25.42611684,2,2
230,11,20160818,서울,57.66703418,34.82282794,2,2
231,11,20160819,서울,64.42325056,42.11130742,2,2
232,11,20160820,서울,35.90291262,21.25,2,2
233,11,20160821,서울,29.61630435,17.714041100000003,1,2
234,11,20160822,서울,31.53907135,18.36462094,2,2
235,11,20160823,서울,36.62111111,21.25795053,2,2
236,11,20160824,서울,37.86724701,22.21079258,2,2
237,11,20160825,서울,32.79276316,17.78103448,2,2
238,11,20160826,서울,16.62740657,6.513321492,1,1
239,11,20160827,서울,15.93669528,5.128205128,1,1
240,11,20160828,서울,12.54565217,4.547297297,1,1
241,11,20160829,서울,19.30594595,6.839590444,1,1
242,11,20160830,서울,30.0840708,9.046075085,2,1
243,11,20160831,서울,20.65027933,6.850340136,1,1
244,11,20160901,서울,64.62414579,32.62086957,2,2
245,11,20160902,서울,35.89932886,22.86971831,2,2
246,11,20160903,서울,24.19396552,13.36993243,1,1
247,11,20160904,서울,24.19679144,12.78619529,1,1
248,11,20160905,서울,33.75381264,16.79623288,2,2
249,11,20160906,서울,60.79408419,35.46977547,2,2
250,11,20160907,서울,78.60250569,50.71993127,2,3
251,11,20160908,서울,50.62793296,30.51986183,2,2
252,11,20160909,서울,45.46017699,26.81818182,2,2
253,11,20160910,서울,44.52416756,26.74414716,2,2
254,11,20160911,서울,41.09100642,26.86531987,2,2
255,11,20160912,서울,32.2826087,17.71016949,2,2
256,11,20160913,서울,20.90659341,9.651282051,1,1
257,11,20160914,서울,33.92432432,20.75210793,2,2
258,11,20160915,서울,42.32603939,26.86409396,2,2
259,11,20160916,서울,52.46838156,34.98666667,2,2
260,11,20160917,서울,30.92803437,20.08754209,2,2
261,11,20160918,서울,24.40840517,13.12162162,1,1
262,11,20160919,서울,15.65384615,5.199652778,1,1
263,11,20160920,서울,20.48805461,9.580985915,1,1
264,11,20160921,서울,35.74098361,21.66609294,2,2
265,11,20160922,서울,41.90628445,26.05400697,2,2
266,11,20160923,서울,53.84916201,33.2358156,2,2
267,11,20160924,서울,63.59346847,40.79491833,2,2
268,11,20160925,서울,54.713800899999995,36.03676471,2,2
269,11,20160926,서울,47.5264977,28.60261194,2,2
270,11,20160927,서울,37.58809802,23.09869646,2,2
271,11,20160928,서울,36.87234043,21.14889706,2,2
272,11,20160929,서울,16.76497696,5.898710866,1,1
273,11,20160930,서울,32.44953052,14.41666667,2,1
274,11,20161001,서울,48.58079096,26.01454545,2,2
275,11,20161002,서울,30.26160815,16.63955638,2,2
276,11,20161003,서울,19.03767123,8.858715596,1,1
277,11,20161004,서울,33.04931193,14.59701493,2,1
278,11,20161005,서울,29.40775558,11.78764479,1,1
279,11,20161006,서울,41.09328783,17.74311927,2,2
280,11,20161007,서울,28.78381375,12.03321678,1,1
281,11,20161008,서울,23.33705357,10.54640981,1,1
282,11,20161009,서울,19.68543046,8.596119929,1,1
283,11,20161010,서울,29.94851259,11.26642336,1,1
284,11,20161011,서울,46.49466192,21.88389513,2,2
285,11,20161012,서울,57.42594719,29.25729927,2,2
286,11,20161013,서울,45.43835616,19.92435424,2,2
287,11,20161014,서울,74.40497738,40.7833935,2,2
288,11,20161015,서울,82.52799122,48.54340278,3,2
289,11,20161016,서울,56.54934211,35.56423611,2,2
290,11,20161017,서울,54.07607497,31.96173913,2,2
291,11,20161018,서울,58.22411832,28.55614035,2,2
292,11,20161019,서울,66.93294798,35.69787986,2,2
293,11,20161020,서울,67.87528345,37.16549296,2,2
294,11,20161021,서울,26.30285714,11.38743455,1,1
295,11,20161022,서울,32.5491453,15.25250836,2,2
296,11,20161023,서울,13.55891892,5.506779661,1,1
297,11,20161024,서울,19.37310195,7.617200675,1,1
298,11,20161025,서울,18.92647059,8.779863481,1,1
299,11,20161026,서울,44.8441989,21.58573854,2,2
300,11,20161027,서울,47.57894737,22.25714286,2,2
301,11,20161028,서울,39.92568306,16.68590832,2,2
302,11,20161029,서울,36.97216274,15.63422819,2,2
303,11,20161030,서울,28.26124197,11.61604096,1,1
304,11,20161031,서울,31.64859002,14.92795883,2,1
305,11,20161101,서울,25.17613636,10.40900901,1,1
