,기상번호,시도코드,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),일 최심신적설(cm),일강수량(mm),강수 계속시간(hr)
135,1120160515,11,20160515,17.4,12.3,24.2,2.7,270.0,999.4,0.0,45.0,10.17
136,1120160516,11,20160516,15.9,10.8,21.9,3.2,250.0,999.7,0.0,2.5,2.33
137,1120160517,11,20160517,19.3,10.9,26.6,1.9,290.0,1005.7,0.0,0.0,0.0
138,1120160518,11,20160518,22.3,13.5,29.5,1.9,290.0,1008.0,0.0,0.0,0.0
139,1120160519,11,20160519,24.3,16.3,31.9,1.6,290.0,1007.2,0.0,0.0,0.0
140,1120160520,11,20160520,24.0,16.8,31.6,1.8,20.0,1007.2,0.0,0.0,0.0
141,1120160521,11,20160521,24.1,17.8,30.4,2.0,70.0,1007.9,0.0,0.0,0.0
142,1120160522,11,20160522,24.7,17.6,31.7,1.9,50.0,1006.0,0.0,0.0,0.0
143,1120160523,11,20160523,23.3,18.3,29.4,2.1,50.0,1002.2,0.0,0.0,0.0
144,1120160524,11,20160524,16.8,15.4,21.8,2.6,250.0,996.9,0.0,38.5,11.17
145,1120160525,11,20160525,19.7,15.3,24.4,2.7,230.0,999.8,0.0,0.0,0.0
146,1120160526,11,20160526,19.4,17.5,22.9,1.8,270.0,1000.5,0.0,0.0,1.25
147,1120160527,11,20160527,20.9,14.8,27.1,1.7,270.0,1001.3,0.0,0.0,0.0
148,1120160528,11,20160528,21.7,17.2,28.0,2.1,250.0,997.9,0.0,0.0,0.0
149,1120160529,11,20160529,21.5,17.2,27.6,2.3,270.0,994.8,0.0,0.0,0.0
150,1120160530,11,20160530,22.1,16.9,28.9,2.4,270.0,996.9,0.0,0.0,0.0
151,1120160531,11,20160531,21.6,17.4,27.6,2.5,270.0,997.4,0.0,0.0,0.0
152,1120160601,11,20160601,23.3,17.1,29.9,2.1,50.0,997.4,0.0,0.0,0.0
153,1120160602,11,20160602,23.2,17.2,29.1,2.4,50.0,1000.0,0.0,0.0,0.0
154,1120160603,11,20160603,22.2,17.6,27.7,2.2,270.0,1000.9,0.0,0.0,0.0
155,1120160604,11,20160604,21.2,18.2,26.3,1.6,270.0,999.1,0.0,0.0,0.0
156,1120160605,11,20160605,24.7,17.3,32.2,1.7,70.0,1000.5,0.0,0.0,0.0
157,1120160606,11,20160606,23.3,20.8,28.4,2.3,110.0,1002.4,0.0,0.0,0.83
158,1120160607,11,20160607,21.7,19.6,25.9,1.7,270.0,1000.3,0.0,0.1,2.32
159,1120160608,11,20160608,22.1,18.2,27.7,2.3,270.0,999.7,0.0,0.0,0.0
160,1120160609,11,20160609,24.1,17.8,31.3,2.0,270.0,1000.9,0.0,0.0,0.0
161,1120160610,11,20160610,24.6,20.2,31.3,2.2,270.0,1001.6,0.0,0.0,0.0
162,1120160611,11,20160611,23.5,20.9,26.5,1.7,250.0,1000.1,0.0,3.0,2.8
163,1120160612,11,20160612,23.5,19.9,26.7,2.1,250.0,995.6,0.0,1.5,1.87
164,1120160613,11,20160613,23.5,19.4,29.6,2.4,270.0,992.2,0.0,0.0,0.0
165,1120160614,11,20160614,23.8,19.7,29.5,2.1,230.0,992.9,0.0,0.0,1.18
166,1120160615,11,20160615,20.9,17.4,24.5,2.7,200.0,990.5,0.0,15.5,11.0
167,1120160616,11,20160616,20.9,18.6,24.9,2.8,200.0,990.3,0.0,0.0,0.27
168,1120160617,11,20160617,23.8,18.6,29.1,2.5,230.0,998.0,0.0,0.0,0.0
169,1120160618,11,20160618,24.5,20.1,29.9,1.8,270.0,1001.3,0.0,0.0,0.0
170,1120160619,11,20160619,24.1,20.3,29.3,1.9,270.0,998.1,0.0,0.0,1.0
