,일시,기상번호,시도코드,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),일 최심신적설(cm),일강수량(mm),강수 계속시간(hr),PM10,PM25,PM10등급,PM25등급
46,20160216,3684866098.352941,36.64705882352941,0.15219359072300243,-3.952878102289867,4.203954574836928,3.2681599772776244,269.26323676323676,1008.8315106462168,0.48335948365360126,0.4820072084777967,2.6928466337583994,31.791454487058818,17.80850875588235,1.588235294117647,1.8823529411764706
47,20160217,3684866099.352941,36.64705882352941,1.5789975710563946,-3.261859708918532,6.715517129928894,2.4018378680143386,254.53411294587767,1014.1411908679556,0.025744843391902215,0.030506748153806978,0.2441564807741278,33.01741590882353,15.038080725882352,1.7058823529411764,1.411764705882353
48,20160218,3684866100.352941,36.64705882352941,3.9792494760141817,-2.226307320130849,9.686012418953597,2.5336525239466416,231.19600007835302,1012.6956900942195,0.0,0.014298642533936654,0.04048868778280543,42.18996350117647,23.349494471764707,1.8823529411764706,1.9411764705882353
49,20160219,3684866101.352941,36.64705882352941,4.807898376133671,0.678125893714129,8.948382891618186,1.5931573328632154,206.85388141270496,1016.0872654796183,0.0,0.14988687782805432,0.01764705882352941,73.08788769117648,42.252608566470585,2.2941176470588234,2.0588235294117645
50,20160220,3684866102.352941,36.64705882352941,3.7682594856124267,-0.0325417719535367,8.790663943899238,2.6685654541536894,274.625629272688,1012.2793403655169,0.0,0.10777310924369747,0.2527192415427709,60.84470857529412,30.187740084117642,2.0,2.0
51,20160221,3684866103.352941,36.64705882352941,1.2590946308593367,-2.9215707821590176,6.113513153513154,2.4351432880844643,270.89548686607515,1019.4172309063484,0.0008403361344537816,0.0,0.017528011204481792,31.43065257411765,14.52903820235294,1.4705882352941178,1.411764705882353
52,20160222,3684866104.352941,36.64705882352941,3.0574641045229285,-0.8862200544553486,6.826036806330926,1.338276233570351,217.4610193727841,1019.5791389982566,0.003921568627450981,0.41333333333333316,0.5677926093514329,43.19661064352941,22.972494121764708,2.0,2.0
53,20160223,3684866105.352941,36.64705882352941,3.4756100761983113,-0.9928524416759712,8.435530743766037,2.7246290963938025,281.1356976356976,1018.4500973536267,0.07535229476405947,0.2219931049342814,0.6155755812814636,64.77911663235294,33.438064121176474,2.0588235294117645,2.0
54,20160224,3684866106.352941,36.64705882352941,-0.7413323930970989,-4.2586551683610505,3.7616519754755053,2.761029950441715,244.83795616148558,1022.1055502340797,0.08111398405516052,0.26666127989657407,0.5485342598577894,30.184256808823527,16.635248889411766,1.588235294117647,1.7058823529411764
55,20160225,3684866107.352941,36.64705882352941,0.7712087912087912,-4.826603396603397,6.228598754186989,2.5086092339033517,271.3159585512526,1022.8555937200055,0.06008403361344539,0.04493937435113906,0.07398082309847016,42.971772642941175,24.16051215235294,2.0,2.0
56,20160226,3684866108.352941,36.64705882352941,3.2234197175373644,-1.731733070850718,7.6373784059078185,1.876652171358054,217.83074768368883,1018.2925884899414,0.43706646294881585,0.8533677107206518,1.7898018843901198,68.49183522294118,46.37023465588235,2.176470588235294,2.3529411764705883
57,20160227,3684866109.352941,36.64705882352941,5.907620418796889,2.1303373097490748,11.076838945368356,2.0248074474545064,235.66920334567394,1013.8731918081918,0.014509803921568627,1.1701878513643216,1.4664204716851774,80.16315553705883,53.27189751823529,2.4705882352941178,2.6470588235294117
58,20160228,3684866110.352941,36.64705882352941,4.446886544827721,0.15712992889463462,10.301644238114827,2.3206786350904003,215.44029499911852,1010.8992625022038,0.9619004524886876,5.759802060684413,2.560913772502008,70.90582149058824,49.656195077058825,2.2941176470588234,2.5294117647058822
59,20160229,3684866111.352941,36.64705882352941,-1.5885902332961157,-4.482703472997592,1.665675598910893,3.92048373195432,283.51605257487614,1014.7697093102975,0.3446778711484594,0.41256674697851164,2.0066521713580534,44.586369957647044,24.67075118058824,2.0,1.9411764705882353
60,20160301,3684866183.352941,36.64705882352941,-1.012535209888151,-6.524465926230632,4.538117470764529,2.3944911950794308,261.0940334175628,1017.475996846291,0.0008403361344537816,0.000980392156862745,0.028452380952380955,34.73044828176471,21.53486430705882,1.7647058823529411,1.8823529411764706
